date,time,category,subcategory,amount,payment_method,memo,weekday
2024-01-19,10:00,마트,생필품,52000,카드,,5
2024-01-19,16:00,문화,영화,15000,카드,,5
2024-01-19,20:00,식비,외식,40000,카드,가족 외식,5
2024-01-20,14:00,식비,배달,19000,카드,,6
2024-01-20,23:30,쇼핑,온라인,55000,카드,새벽 쇼핑 또 해버렸다,6
2024-01-21,13:00,식비,외식,27000,카드,,0
2024-01-22,08:10,교통,지하철,1400,카드,,1
2024-01-22,12:30,식비,점심,8500,카드,,1
2024-01-22,20:00,식비,배달,26000,카드,비 와서 배달,1
2024-01-23,08:10,교통,지하철,1400,카드,,2
2024-01-23,12:00,식비,점심,9000,카드,,2
2024-01-24,08:10,교통,지하철,1400,카드,,3
2024-01-24,12:30,식비,점심,8000,카드,,3
2024-01-24,19:00,카페,커피,6000,카드,,3
2024-01-25,08:10,교통,지하철,1400,카드,,4
2024-01-25,12:30,식비,점심,7500,카드,,4
2024-01-25,21:00,쇼핑,온라인,33000,카드,스트레스 쇼핑,4
2024-01-26,10:00,마트,생필품,41000,카드,,5
2024-01-26,15:00,문화,공연,45000,카드,,5
2024-01-27,12:00,식비,외식,22000,카드,,6
2024-01-27,18:00,카페,커피,5500,카드,,6
2024-01-28,14:00,식비,외식,35000,카드,,0
2024-01-29,08:10,교통,지하철,1400,카드,,1
2024-01-29,12:30,식비,점심,8500,카드,,1
2024-01-30,08:10,교통,지하철,1400,카드,,2
2024-01-30,12:00,식비,점심,9000,카드,,2
2024-01-30,20:00,식비,배달,35000,카드,월말 스트레스 폭식,2
2024-01-31,08:10,교통,지하철,1400,카드,,3
2024-01-31,12:30,식비,점심,8000,카드,,3
2024-02-01,08:10,교통,지하철,1400,카드,,4
2024-02-01,12:30,식비,점심,9000,카드,,4
2024-02-01,20:00,식비,배달,28000,카드,,4
2024-02-02,10:00,마트,생필품,44000,카드,,5
2024-02-02,15:00,문화,영화,15000,카드,,5
2024-02-02,20:00,식비,외식,38000,카드,,5
2024-02-03,13:00,식비,배달,21000,카드,,6
2024-02-03,22:00,쇼핑,온라인,78000,카드,새벽에 또 충동구매 ㅜ,6
2024-02-04,14:00,식비,외식,29000,카드,,0
2024-02-05,08:10,교통,지하철,1400,카드,,1
2024-02-05,12:30,식비,점심,8500,카드,,1
2024-02-06,08:10,교통,지하철,1400,카드,,2
2024-02-06,12:00,식비,점심,9500,카드,,2
2024-02-06,19:30,식비,배달,32000,카드,비 오는 날 치킨,2
2024-02-07,08:10,교통,지하철,1400,카드,,3
2024-02-07,12:30,식비,점심,8000,카드,,3
2024-02-07,21:00,쇼핑,온라인,45000,카드,기분이 안 좋아서 쇼핑,3
2024-02-08,08:10,교통,지하철,1400,카드,,4
2024-02-08,12:30,식비,점심,7500,카드,,4
2024-02-08,18:00,카페,커피,6000,카드,,4
2024-02-09,10:00,마트,생필품,39000,카드,,5
2024-02-09,16:00,문화,독서실,5000,카드,,5
2024-02-10,12:00,식비,외식,26000,카드,,6
2024-02-10,17:00,카페,커피,5500,카드,,6
